Country,Type,Attacks
Africa,Unprovoked,1
Algeria,Unprovoked,1
American Samoa,Unprovoked,3
Angola,Unprovoked,1
Antigua & Barbuda,Questionable,1
Antigua & Barbuda,Sea Disaster,1
Argentina,Questionable,1
Argentina,Unprovoked,1
Aruba,Sea Disaster,1
Asia?,Unprovoked,1
Atlantic Ocean,Attacks on boats,5
Atlantic Ocean,Provoked,3
Atlantic Ocean,Questionable,3
Atlantic Ocean,Sea Disaster,16
Atlantic Ocean,Unprovoked,12
Australia,Attacks on boats,128
Australia,Provoked,144
Australia,Questionable,128
Australia,Sea Disaster,24
Australia,Unprovoked,1061
Bahrain,Unprovoked,1
Bangladesh,Sea Disaster,1
Barbados,Sea Disaster,1
Barbados,Unprovoked,5
Bay Of Bengal,Sea Disaster,1
Belize,Provoked,2
Belize,Questionable,1
Belize,Unprovoked,5
Bermuda,Attacks on boats,1
Bermuda,Provoked,2
Bermuda,Questionable,3
Bermuda,Sea Disaster,3
Bermuda,Unprovoked,7
Between Portugal & India,Unprovoked,1
Brazil,Provoked,6
Brazil,Questionable,10
Brazil,Sea Disaster,5
Brazil,Unprovoked,101
British Virgin Islands,Questionable,1
Canada,Attacks on boats,3
Canada,Provoked,2
Canada,Questionable,1
Canada,Sea Disaster,2
Canada,Unprovoked,6
Cape Verde,Questionable,2
Cape Verde,Unprovoked,1
Caribbean Sea,Attacks on boats,2
Caribbean Sea,Questionable,1
Caribbean Sea,Sea Disaster,3
Caribbean Sea,Unprovoked,2
Cayman Islands,Questionable,2
Cayman Islands,Unprovoked,1
Chile,Provoked,1
Chile,Unprovoked,7
China,Provoked,3
China,Sea Disaster,2
China,Unprovoked,28
Coast Of Africa,Unprovoked,1
Colombia,Questionable,1
Colombia,Sea Disaster,1
Colombia,Unprovoked,10
Comoros,Questionable,1
Cook Islands,Sea Disaster,1
Coral Sea,Attacks on boats,1
Costa Rica,Questionable,2
Costa Rica,Unprovoked,16
Croatia,Attacks on boats,3
Croatia,Provoked,3
Croatia,Questionable,8
Croatia,Unprovoked,22
Cuba,Attacks on boats,1
Cuba,Provoked,6
Cuba,Questionable,3
Cuba,Sea Disaster,7
Cuba,Unprovoked,32
Curacao,Unprovoked,1
Cyprus,Unprovoked,1
Diego Garcia,Unprovoked,1
Djibouti,Unprovoked,1
Dominican Republic,Provoked,1
Dominican Republic,Sea Disaster,2
Dominican Republic,Unprovoked,4
Ecuador,Unprovoked,11
Egypt,Questionable,5
Egypt,Sea Disaster,2
Egypt,Unprovoked,45
El Salvador,Attacks on boats,1
El Salvador,Provoked,1
El Salvador,Unprovoked,2
Equatorial Guinea,Unprovoked,1
Falkland Islands,Unprovoked,1
Federated States Of Micronesia,Unprovoked,4
Fiji,Attacks on boats,1
Fiji,Provoked,3
Fiji,Questionable,2
Fiji,Sea Disaster,3
Fiji,Unprovoked,61
France,Attacks on boats,1
France,Provoked,3
France,Questionable,2
France,Unprovoked,7
French Polynesia,Provoked,6
French Polynesia,Questionable,1
French Polynesia,Unprovoked,31
